#These H(e,e'p) SHMS e- singles data Uses the measured SHMS angles and momenta
#The HMS kinematics are calculated based on the SHMS kinematics required for elastics (The HMS is to set in SIMC)
#THe relative errors dEb/Eb, dEf,Ef are in %, while dth_e is in mr

#!kg[i,0]/  Run[i,1]/   particle[s,2]/         shms_P[f,3]/    shms_Angle[f,4]/   hms_P[f,5]/     hms_Angle[f,6]/     beam_e[f,7]/      data_W_mean[f,8]/          simc_W_mean[f,9]/
-1	  6621          e                      3.007           21.13              1.4942  	  46.5132	    3.8334         	0.934978                   0.942201
-1	  6625          e                      2.834           23.999             1.69665 	  42.7728	    3.8334         	0.934811                   0.94242
-1	  6626          e                      2.713           25.995             1.83319 	  40.4272	    3.8334         	0.935266                   0.942802
-1	  6629          e                      2.583           28.19              1.97836 	  38.0652	    3.8334         	0.935866                   0.942802
-1	  6632          e                      2.478           29.999             2.09361 	  36.2739	    3.8334         	0.936599                   0.943033
-1	  6869          e                      4.642           8.86               0.794142 	  64.1445	    4.9309         	0.924580                   0.941402
-1	  6873          e                      4.436           11.86              1.08662 	  56.9869	    4.9309         	0.925000                   0.941418
-1	  6876          e                      4.184           15.0               1.40218 	  50.5277	    4.9309         	0.925282                   0.941976
-1	  7848          e                      3.939           24.001             3.04592 	  31.7638	    6.1909         	0.936691                   0.944464
-1	  7853          e                      3.709           26.001             3.28588 	  29.685	    6.1909         	0.936173                   0.944271
-1	  7856          e                      3.491           28.001             3.51306 	  27.8269	    6.1909         	0.937465                   0.944504
-1	  7860          e                      3.284           30.001             3.72692 	  26.1584	    6.1909       	0.939585                   0.945010
-1	  7962          e                      5.745           17.999             3.26718 	  32.9301	    8.20883      	0.918719                   0.944432
-1	  7964          e                      5.372           19.995             3.65404 	  30.1945	    8.20883      	0.921071                   0.944539
-1	  7966          e                      5.013           21.999             4.02463 	  27.822	    8.20883      	0.922719                   0.944809
-1	  7970          e                      4.352           25.999             4.70041 	  23.9567	    8.20883      	0.923444                   0.945853
